[2026-04-22T17:37:41.403Z] GET https://usefastflow.netlify.app/ → 200 (690ms, 11471B)
[2026-04-22T17:37:42.097Z] GET https://fonts.googleapis.com/css2?family=Figtree:wght@400;600;700&family=Syne:wght@700;800&display=swap → 200 (69ms, 4738B)
[2026-04-22T17:37:42.097Z] GET https://usefastflow.netlify.app/css/style.css → 200 (143ms, ?B)
[2026-04-22T17:37:42.097Z] GET https://usefastflow.netlify.app/js/main.js → 200 (143ms, ?B)
[2026-04-22T17:37:42.383Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (135ms, 20156B)
[2026-04-22T17:37:42.383Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9A.woff2 → 200 (110ms, 34608B)
[2026-04-22T17:43:02.515Z] GET https://usefastflow.netlify.app/ → 200 (100ms, 11497B)
[2026-04-22T17:43:02.624Z] GET https://fonts.googleapis.com/css2?family=Figtree:wght@400;600;700&family=Syne:wght@700;800&display=swap → 200 (?ms, 4738B)
[2026-04-22T17:43:02.626Z] GET https://usefastflow.netlify.app/css/style.css → 304 (27ms, ?B)
[2026-04-22T17:43:02.626Z] GET https://usefastflow.netlify.app/js/main.js → 304 (33ms, ?B)
[2026-04-22T17:43:02.664Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (?ms, ?B)
[2026-04-22T17:43:02.666Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9A.woff2 → 200 (?ms, ?B)
[2026-04-22T17:44:12.581Z] GET https://usefastflow.netlify.app/ → 200 (369ms, 12618B)
[2026-04-22T17:44:12.962Z] GET https://fonts.googleapis.com/css2?family=Figtree:wght@400;600;700&family=Syne:wght@700;800&display=swap → 200 (?ms, 4738B)
[2026-04-22T17:44:12.963Z] GET https://usefastflow.netlify.app/css/style.css → 200 (244ms, 22656B)
[2026-04-22T17:44:13.030Z] GET https://usefastflow.netlify.app/js/main.js → 304 (151ms, ?B)
[2026-04-22T17:44:13.030Z] GET https://unpkg.com/lucide@latest/dist/umd/lucide.min.js → 302 (132ms, ?B)
[2026-04-22T17:44:13.162Z] GET https://unpkg.com/lucide@1.8.0/dist/umd/lucide.min.js → 200 (138ms, 397450B)
[2026-04-22T17:44:13.239Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (1ms, ?B)
[2026-04-22T17:44:13.242Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9A.woff2 → 200 (?ms, ?B)
